transaction_date,product_id,quantity_sold,current_stock,is_promo
2022-01-01,P0001,127,231,0
2022-01-02,P0001,81,116,0
2022-01-03,P0001,5,154,0
2022-01-04,P0001,58,85,1
2022-01-05,P0001,147,238,1
2022-01-06,P0001,37,198,0
2022-01-07,P0001,107,195,1
2022-01-08,P0001,2,231,1
2022-01-09,P0001,350,373,1
2022-01-10,P0001,36,327,1
2022-01-11,P0001,16,101,1
2022-01-12,P0001,104,145,0
2022-01-13,P0001,80,110,1
2022-01-14,P0001,177,199,0
2022-01-15,P0001,176,290,1
2022-01-16,P0001,97,104,0
2022-01-17,P0001,69,134,1
2022-01-18,P0001,123,339,0
2022-01-19,P0001,211,431,0
2022-01-20,P0001,79,154,0
2022-01-21,P0001,390,430,1
2022-01-22,P0001,191,450,1
2022-01-23,P0001,79,118,0
2022-01-24,P0001,9,115,1
2022-01-25,P0001,189,348,1
2022-01-26,P0001,49,200,1
2022-01-27,P0001,164,410,0
2022-01-28,P0001,97,158,1
2022-01-29,P0001,47,154,1
2022-01-30,P0001,130,498,0
2022-01-31,P0001,200,410,1
2022-02-01,P0001,279,419,0
2022-02-02,P0001,38,415,0
2022-02-03,P0001,71,345,1
2022-02-04,P0001,25,121,0
2022-02-05,P0001,350,458,0
2022-02-06,P0001,69,167,1
2022-02-07,P0001,62,244,0
2022-02-08,P0001,12,140,0
2022-02-09,P0001,16,209,0
2022-02-10,P0001,237,311,0
2022-02-11,P0001,203,216,0
2022-02-12,P0001,29,358,1
2022-02-13,P0001,149,229,0
2022-02-14,P0001,259,429,1
2022-02-15,P0001,111,126,0
2022-02-16,P0001,373,373,1
2022-02-17,P0001,31,82,1
2022-02-18,P0001,27,115,0
2022-02-19,P0001,27,207,1
2022-02-20,P0001,166,284,0
2022-02-21,P0001,337,337,0
2022-02-22,P0001,191,467,1
2022-02-23,P0001,129,152,0
2022-02-24,P0001,177,277,1
2022-02-25,P0001,214,399,1
2022-02-26,P0001,106,167,0
